city,lat,cloudiness,country,date,humidity,lng,max_temp,wind_speed
Ust-Nera,64.57,58,RU,1561850230,22,143.24,59.77,7.9
Nevers,46.99,0,FR,1561850030,57,3.16,77.0,2.24
Khani,41.96,75,GE,1561850233,93,42.96,62.6,13.87
Salinas,36.67,1,US,1561850234,55,-121.66,84.0,11.41
Pacific Grove,36.62,1,US,1561850235,55,-121.92,82.99,11.41
Kawalu,-7.38,65,ID,1561850236,86,108.21,66.68,3.38
San Patricio,-26.98,89,PY,1561850238,64,-56.83,76.62,3.09
Quzhou,28.97,79,CN,1561849964,86,118.86,82.92,1.86
Yuxia,34.06,0,CN,1561850240,93,108.63,62.6,2.24
Requena,39.49,0,ES,1561850242,50,-1.1,78.8,4.7
Smolenka,54.15,60,PL,1561850243,95,22.76,57.27,8.3
Charters Towers,-20.07,0,AU,1561850244,53,146.27,67.96,14.61
Forestville,48.74,90,CA,1561850246,93,-69.09,53.6,5.82
Tottori,35.5,75,JP,1561850207,100,134.23,75.2,11.41
Cairns,-16.92,20,AU,1561850168,77,145.77,71.01,13.87
Nouakchott,18.08,0,MR,1561850249,61,-15.98,80.6,20.8
Chon Daen,16.19,99,TH,1561850251,81,100.86,80.38,8.19
Montijo,38.91,0,ES,1561850252,59,-6.62,66.93,7.72
Keuruu,62.26,0,FI,1561850253,71,24.71,55.4,10.29
Mwinilunga,-11.73,0,ZM,1561850255,53,24.43,52.32,4.74
Constitucion,23.99,75,MX,1561850256,13,-104.67,84.2,12.75
Maputo,-25.97,0,MZ,1561850257,87,32.57,60.8,4.7
Lagos,6.46,20,NG,1561850259,94,3.39,77.0,3.36
Keskin,39.67,0,TR,1561850261,67,33.62,55.99,1.01
Saint-Augustin,45.63,90,CA,1561850262,82,-73.98,73.99,8.05
Strelka,58.08,0,RU,1561850264,58,93.03,71.41,1.1
Hobyo,5.35,79,SO,1561850265,73,48.53,76.58,22.77
Port Keats,-14.25,15,AU,1561850266,51,129.55,76.17,11.41
Vershino-Shakhtaminskiy,51.3,58,RU,1561850268,49,117.89,63.98,3.96
Kirakira,-10.46,45,SB,1561850269,76,161.92,82.83,7.27
Gejiu,23.36,98,CN,1561850270,85,103.16,67.35,1.66
Arlit,18.74,60,NE,1561850274,17,7.39,98.47,9.31
Mezen,65.85,100,RU,1561850276,97,44.24,52.55,9.06
Emerald,-23.53,0,AU,1561850277,81,148.16,61.0,6.93
Dalmatovo,56.26,83,RU,1561850278,63,62.94,61.37,15.14
Suntar,62.16,0,RU,1561850280,50,117.65,79.71,1.72
