city,lat,cloudiness,country,date,humidity,lng,max_temp,wind_speed
Wenling,28.38,66,CN,1561849878,62,121.38,91.0,1.05
Salsk,46.48,80,RU,1561849879,88,41.54,55.07,5.79
Siguiri,11.42,27,GN,1561849881,73,-9.17,78.7,4.68
Mahebourg,-20.41,40,MU,1561849564,60,57.7,73.4,14.99
Ust-Ilimsk,57.96,0,RU,1561849631,41,102.73,76.89,3.44
College,64.86,20,US,1561849888,42,-147.8,87.8,9.84
Ilulissat,69.22,75,GL,1561849645,75,-51.1,42.8,9.17
Victoria,5.28,75,BN,1561849891,88,115.24,80.6,2.24
Pastavy,55.11,52,BY,1561849642,98,26.84,53.49,6.73
Pouembout,-21.12,0,NC,1561849893,76,164.9,71.97,14.76
Port Augusta,-32.49,12,AU,1561849895,93,137.76,43.0,9.17
Ancud,-41.87,90,CL,1561849572,100,-73.83,39.2,4.7
Hithadhoo,-0.6,87,MV,1561849576,67,73.08,83.69,14.16
Atakpame,7.53,41,TG,1561849898,98,1.13,70.19,3.36
Sioux Lookout,50.1,90,CA,1561849900,36,-91.92,82.4,3.36
Gigmoto,13.78,100,PH,1561849901,77,124.39,83.62,10.71
Los Llanos de Aridane,28.66,75,ES,1561849621,68,-17.92,71.6,12.75
Taihe,26.8,74,CN,1561849903,86,114.92,82.7,2.77
Elk City,35.41,1,US,1561849905,25,-99.4,100.4,4.7
Fortuna,38.18,0,ES,1561849609,54,-1.13,78.8,3.36
Yinchuan,38.48,53,CN,1561849907,25,106.21,75.99,3.0
Norman Wells,65.28,90,CA,1561849648,100,-126.83,51.8,14.99
Freetown,26.61,75,BS,1561849910,94,-78.36,73.4,9.17
Rio Grande,-32.03,40,BR,1561849911,78,-52.1,75.2,6.93
Sitka,37.17,0,US,1561849629,23,-99.65,95.82,13.58
Cidreira,-30.17,61,BR,1561849564,81,-50.22,71.18,9.22
Letlhakeng,-24.1,0,BW,1561849916,36,25.03,53.92,2.86
Kailua,21.39,90,US,1561849917,78,-157.74,87.8,9.17
Yantal,56.85,3,RU,1561849919,43,105.25,71.63,4.61
Tiarei,-17.53,75,PF,1561849584,65,-149.33,80.6,8.05
Tubuala,9.52,40,PA,1561849922,78,-79.03,82.4,10.29
Cooma,-36.24,0,AU,1561849923,65,149.13,41.0,18.34
Saint Anthony,43.97,40,US,1561849924,14,-111.68,80.6,12.75
Nong Han,17.36,0,TH,1561849925,78,103.11,80.6,3.36
Avarua,-21.21,100,CK,1561849565,50,-159.78,75.2,13.87
Vestmannaeyjar,63.44,100,IS,1561849638,89,-20.27,49.09,11.79
Canberra,-35.3,75,AU,1561849854,87,149.1,44.01,13.87
Eureka,40.8,1,US,1561849666,77,-124.16,64.0,16.11
Honningsvag,70.98,81,NO,1561849650,92,25.97,39.1,38.18
Bassano,50.79,32,CA,1561849935,25,-112.47,73.99,11.01
Macau,-5.11,2,BR,1561849936,73,-36.64,73.92,17.98
Denpasar,-8.65,20,ID,1561849384,83,115.22,71.6,1.12
Tazovskiy,67.47,0,RU,1561849650,56,78.7,45.39,4.25
Edd,13.93,78,ER,1561849941,55,41.69,87.2,3.78
Colares,38.8,0,PT,1561849943,77,-9.45,66.99,13.87
Monte Patria,-30.69,0,CL,1561849944,67,-70.96,48.16,3.02
Kindu,-2.95,17,CD,1561849576,74,25.92,71.56,1.9
Kaka,37.35,0,TM,1561849946,18,59.62,83.4,7.52
Somers,41.99,75,US,1561849948,51,-72.45,84.99,11.41
Chaoyang,41.58,21,CN,1561849950,60,120.44,67.24,6.06
Puerto Narino,-3.77,40,CO,1561849952,70,-70.38,87.8,1.25
Asmar,35.03,31,AF,1561849953,41,71.36,58.71,3.78
Chokurdakh,70.62,0,RU,1561849649,47,147.9,53.7,8.5
Mandan,46.83,40,US,1561849658,70,-100.89,86.0,13.87
Upernavik,72.79,0,GL,1561849645,81,-56.15,39.68,12.37
Gornopravdinsk,60.06,78,RU,1561849647,76,69.92,53.52,5.57
Karacabey,40.21,0,TR,1561849959,63,28.36,68.0,6.93
Luanda,-8.83,20,AO,1561849582,94,13.24,69.8,5.82
Mazagao,-0.12,75,BR,1561849962,100,-51.29,78.8,3.36
Mto wa Mbu,-3.38,5,TZ,1561849963,86,35.86,57.75,11.16
Kurilsk,45.23,100,RU,1561849965,89,147.88,47.8,8.19
Semey,50.41,0,KZ,1561849967,82,80.25,55.4,13.42
Tashkent,41.31,0,UZ,1561849968,41,69.28,78.8,9.17
Iqaluit,63.75,75,CA,1561849648,75,-68.52,44.6,10.29
Kimbe,-5.56,85,PG,1561849972,62,150.15,87.33,0.87
Clyde River,70.47,20,CA,1561849973,86,-68.59,37.4,9.17
Bethel,60.79,40,US,1561849401,72,-161.76,62.6,8.05
Roald,62.58,100,NO,1561849976,93,6.12,55.4,4.7
Aklavik,68.22,75,CA,1561849650,66,-135.01,51.8,5.82
Kangaatsiaq,68.31,0,GL,1561849978,86,-53.46,40.0,9.71
San Carlos,11.12,99,NI,1561849980,62,-84.78,73.99,21.99
Zacualpan,21.25,90,MX,1561849981,100,-105.17,89.6,11.41
Pindwara,24.79,94,IN,1561849982,77,73.05,82.54,16.26
Druzhnaya Gorka,59.28,40,RU,1561849983,72,30.14,60.8,6.71
Kaspiyskiy,45.39,100,RU,1561849985,70,47.37,68.86,7.36
Juruti,-2.16,30,BR,1561849986,75,-56.09,78.02,3.18
Gizo,31.8,40,IL,1561849583,78,34.94,78.8,5.82
Dembi Dolo,8.53,81,ET,1561849989,67,34.8,68.26,3.58
Santa Maria da Boa Vista,-8.8,50,BR,1561849990,56,-39.83,74.85,17.83
Tunceli,39.11,0,TR,1561849991,37,39.55,72.0,4.7
Nioki,-2.72,41,CD,1561849992,59,17.69,80.22,3.24
Troitsk,54.08,100,RU,1561849994,60,61.55,59.28,13.4
Villiers,-27.03,0,ZA,1561849995,44,28.6,44.16,0.94
Ingham,-18.65,29,AU,1561849997,65,146.16,70.3,1.97
Sainte-Anne-des-Monts,49.13,33,CA,1561849998,90,-66.49,56.31,13.35
Yulara,-25.24,0,AU,1561849571,44,130.99,37.4,8.05
Bergama,39.12,0,TR,1561849623,71,27.18,75.2,12.75
Belmonte,40.36,0,PT,1561849581,79,-7.35,59.64,2.46
Ornskoldsvik,63.29,1,SE,1561850003,62,18.72,53.6,11.41
Klaksvik,62.23,100,FO,1561849648,100,-6.59,51.8,5.82
Angoche,-16.23,38,MZ,1561850005,96,39.91,70.23,3.76
Arman,59.7,99,RU,1561850007,86,150.17,51.88,4.94
Say,13.1,0,NE,1561850008,52,2.36,87.8,1.12
Miandrivazo,-19.53,29,MG,1561850009,74,45.46,72.6,2.26
Lazaro Cardenas,28.39,20,MX,1561850010,22,-105.62,91.4,8.05
Belaya Gora,68.54,13,RU,1561850012,47,146.19,61.06,11.56
Bourail,-21.57,89,NC,1561850013,83,165.5,68.89,9.95
Skibbereen,51.55,40,IE,1561849631,93,-9.27,57.2,9.17
The Valley,18.22,20,AI,1561850015,74,-63.06,84.2,16.11
Cumana,10.46,40,VE,1561850017,82,-64.17,79.73,30.15
Kaitangata,-46.28,51,NZ,1561849562,63,169.85,50.0,5.01
San Cristobal,14.68,100,HN,1561850019,82,-86.92,71.14,4.47
Sao Filipe,14.9,2,CV,1561849992,86,-24.5,72.13,27.49
Zhuravky,45.13,30,UA,1561850022,52,35.22,62.56,9.4
Batagay-Alyta,67.8,92,RU,1561850023,73,130.41,45.93,2.91
Nurota,40.56,0,UZ,1561850025,46,65.69,73.4,9.17
Dezhou,37.45,61,CN,1561850026,26,116.31,83.35,12.8
North Battleford,52.78,1,CA,1561850027,36,-108.3,75.2,20.8
Viedma,-40.81,100,AR,1561849348,82,-62.99,43.48,8.95
Coquimbo,-29.95,0,CL,1561849571,82,-71.34,55.4,10.29
Ariquemes,-9.91,75,BR,1561850031,68,-63.03,77.91,0.6
Fort Nelson,58.81,40,CA,1561850032,36,-122.69,75.2,9.17
Manavalakurichi,8.13,20,IN,1561850034,88,77.3,80.6,6.93
Auki,12.18,0,NG,1561850035,70,6.51,79.66,9.28
Praia da Vitoria,38.73,40,PT,1561850036,88,-27.07,66.99,2.21
Lerwick,60.15,87,GB,1561850038,93,-1.15,53.6,5.59
Barra Patuca,15.8,100,HN,1561850039,78,-84.28,82.3,11.97
Mount Isa,-20.73,0,AU,1561850040,41,139.49,59.0,11.41
Antofagasta,-23.65,20,CL,1561850042,82,-70.4,57.2,14.99
Haines Junction,60.75,73,CA,1561850043,29,-137.51,76.4,3.76
Carnarvon,-30.97,0,ZA,1561849567,33,22.13,49.33,9.6
Gurun,5.82,75,MY,1561850047,88,100.48,82.4,2.24
Mount Gambier,-37.83,92,AU,1561850048,65,140.78,55.61,30.29
Koppang,61.57,65,NO,1561850049,70,11.04,55.0,1.01
Slave Lake,55.28,75,CA,1561850051,77,-114.77,62.6,13.87
Svarstad,59.4,85,NO,1561850052,68,9.97,66.0,3.36
Alice Springs,-23.7,0,AU,1561850053,69,133.88,37.4,4.7
Kavaratti,10.57,100,IN,1561849594,75,72.64,84.19,18.88
Yerbogachen,61.28,43,RU,1561850056,55,108.01,74.13,2.66
Kiunga,-6.12,94,PG,1561849579,85,141.3,78.52,4.61
Nioro,13.79,5,GM,1561849601,69,-15.05,78.51,9.66
Mocuba,-16.84,1,MZ,1561850061,97,36.99,62.27,0.69
Kestel,40.2,0,TR,1561850062,93,29.21,61.0,7.81
Maniitsoq,65.42,100,GL,1561850064,78,-52.9,39.1,4.97
North Bend,43.41,75,US,1561850067,82,-124.22,68.0,10.29
Hay River,60.82,40,CA,1561850068,42,-115.79,68.0,9.17
Jinji,22.16,96,CN,1561850070,68,112.49,90.0,0.54
Pitimbu,-7.47,20,BR,1561849580,88,-34.81,73.4,4.7
Khash,28.22,0,IR,1561850072,21,61.21,74.51,5.75
Podor,16.65,0,MR,1561850074,35,-14.96,85.11,12.28
Santa Cruz,-6.22,0,BR,1561849815,84,-36.02,67.78,10.65
Margate,-43.03,75,AU,1561849566,50,147.26,53.6,16.11
Mitu,36.2,0,IR,1561850040,35,46.09,61.87,4.61
Pau Brasil,-15.46,1,BR,1561850080,91,-39.65,62.5,2.73
Oshnaviyeh,37.04,0,IR,1561850081,45,45.1,64.4,2.24
Broome,52.47,7,GB,1561850028,72,1.45,73.4,5.82
Viking,53.1,61,CA,1561850084,83,-111.78,59.71,14.47
Nome,30.04,90,US,1561849649,88,-94.42,78.8,4.7
Yeppoon,-23.13,4,AU,1561850087,77,150.74,62.6,4.7
Christiana,-27.91,0,ZA,1561850088,33,25.16,55.99,10.47
Madaoua,14.07,0,NE,1561850089,47,5.96,89.61,15.12
Sassandra,4.95,100,CI,1561850091,92,-6.09,74.42,3.44
Yining,29.04,100,CN,1561850092,85,114.56,78.27,0.78
Riihimaki,60.74,20,FI,1561850093,71,24.78,59.0,8.05
Pangai,-19.8,100,TO,1561850095,75,-174.35,75.0,22.75
Mastic Beach,40.77,1,US,1561850096,69,-72.85,82.99,6.93
Mizdah,31.45,0,LY,1561850097,50,12.98,73.57,3.24
